Stock book code,Date,Work Title,width,height,materials,Ownership,
a-04,1962,River Barge,36,24,Oil on Board,Sold,
a-08,1962,Thames Bridge Fantasy ,48,36,Oil on Board,Available,
h-15,1963,Split Rocks,36,32,Oil on Board,Available,
i-35,1964,Moon Diptych,32,21,Oil on Board,Available,
i-37,1964,Sea Wall,36,24,Oil on Board,Available,
j-03,1965,Harbour Painting No.2,24,36,Oil on Board,Available,
j-05,1965,Harbour Painting No.4,36,24,Oil on Board,Sold,
j-12,1965,Harbour Painting Mevagissey,36,24,Oil on Board,Available,
j-16,1965,Tregardock Beach,48,30,Oil on Board,Available,
j-17,1966,South Cornish Coast,36,48,Oil on Board,Available,
j-18,1966,Celtic Wheel,36,48,Oil on Board,Available,
j-19,1966,Cornish Wheel,36,30,Oil on Board,Available,
k-04,1966,Harbour Painting No.15,36,24,Acrylic on board,Available,
k-35,1966,Perbargus Cove No.2,36,24,Acrylic on board,Available,
k-36,1966,Perbargus Cove No.5,36,24,Acrylic on board,Available,
k-37,1966,Perbargus Cove No.4,36,24,Acrylic on board,Available,
k-38,1966,Cliff Path,27,13,Acrylic on Canvas,Available,
k-46,1966,Causeway,,,Acrylic on Canvas,Sold,
k-47,1966,Harbour Painting,16,12,Acrylic on Board,Sold,
k-12,1967,Blue Flash,48,42,Acrylic on board,Available,
k-15,1967,Kick,24,36,Acrylic on board,Available,
k-16,1967,"Dancers, Fonteyn and Nuri (Nureyev)",48,36,Acrylic on board,Available,
k-21,1967,Red Cell,36,24,Acrylic on board,Available,
k-23a,1967,Green Giantess,19,25,Acrylic on Canvas,Available,
k-29,1967,Dozmary Pool No.1,24,30,Acrylic on board,Available,
k-30,1967,Dozmary Pool No.2,24,18,Acrylic on board,Available,
k-39b,1968,Track Through the Wood,17.5,24,Acrylic on Canvas,Available,
k-40a,1968,Hidden Valley,25,19,Acrylic on Canvas,Available,
k-40b,1968,Llano Estacado,27,13,Acrylic on Canvas,Available,
k-41,1968,Headland,20,16,Acrylic on Canvas,Available,
k-42,1968,Sun,14,17,Acrylic on Canvas,Available,
k-43,1968,Gorran Landscape,21,14,Acrylic on Canvas,Available,
k-44,1968,Models Resting,18,24,Acrylic on Canvas,Available,
k-45,1968,Reclining Landscape,24,18,Acrylic on Canvas,Available,
k-39a,1969,Bodmin Moor,28.5,12,Acrylic on Canvas,Available,
l-02,1969,Wave Painting No.2,22,14,Acrylic on Canvas,Available,
l-03,1969,Wave Painting No.3,19,25,Acrylic on Canvas,Available,
l-04,1969,Wave No.5 - Sunrise Portholland,24.5,17.5,Acrylic on Canvas,Available,
l-05,1969,Wave Painting,,,Acrylic on Canvas,Sold,
l-06,1969,Storm Waves,25,14,Acrylic on Canvas,Available,
l-08,1969,Wave Painting No.6,27,15,Acrylic on Canvas,Available,
l-09,1969,Small Wave,10,8,Acrylic on Canvas,Available,
l-11,1969,Wave Painting No.8,33,22,Acrylic on Canvas,Available,
l-12,1969,Wave Painting No. 9,12,14,Acrylic on Canvas,Available,
l-14,1969,Morning Star,24,19,Acrylic on Canvas,Available,
m-00,1970,Black Barn Chilterns,18.5,22,Acrylic on Canvas,Available,
m-03,1970,Chiltern Hills No.1,19.5,17.5,Acrylic on Canvas,Available,
m-08,1970,North Downs,16,12,Acrylic on Canvas,Available,
m-10,1970,Egyptology,29,22,Acrylic on Canvas,Available,
m-11,1970,Small Water No.1,49,38,Acrylic on Canvas,Available,
m-12,1970,Small Water No.2,26,36,Acrylic on Canvas,Available,
m-15,1970,Chiltern Hills No.2,22,19,Acrylic on Canvas,Available,
m-16,1970,Portrait Poem No.1,16,13,Mixed Media - Acrylic & Wood,Artist's Collection,
m-18,1970,Small Water No.3,32,22,Acrylic on Canvas,Available,
m-01,1971,Dream Machine No.1,21,17.5,Acrylic on Canvas,Available,
m-04,1971,Dream Machine No.2,26,36,Acrylic on Canvas,Available,
m-05,1971,Chilterns,,,Acrylic on Canvas,Sold,
m-06,1971,Dream Machine No.3,14,12,Acrylic on Canvas,Available,
m-07,1971,Chiltern Sun,16,12,Acrylic on Canvas,Available,
m-09,1971,Dream Landscape,18,20,Acrylic on Canvas,Available,
m-17,1971,Portrait Poem No.2,36,48,Acrylic on Canvas,Artist's Collection,
WM_72-05,1972,Blencathra No.5,24,18,Acrylic on Canvas,Available,
WM_72-06,1972,Blencathra No.6,24,18,Acrylic on Canvas,Available,
WM_72-08,1972,Galloway No.1,24,24,Acrylic on Canvas,Available,
WM_72-10,1972,Galloway No.3,36,30,Acrylic on Canvas,Sold,
WM_73-01,1973,Snowline No.1,18,14.5,Acrylic on Canvas,Available,
WM_73-07,1973,Sea Form No.4,36,24,Acrylic on Canvas,Available,
WM_73-08,1973,Sea Form No.5,42,36,Acrylic on Canvas,Available,
WM_73-09,1973,Sea Moon,36,30,Acrylic on Canvas,Available,
WM_73-10,1973,Swindale Force No.1,31,33,Acrylic on Canvas,Available,
WM_73-13,1973,Swindale Force No.4,20,20,Acrylic on Canvas,Available,
WM_73-19,1973,Corsewall Point No.1,32,38.5,Acrylic on Canvas,Available,
WM_73-20,1973,St Ninian's Cave,42.5,36.5,Acrylic on Canvas,Available,
WM_73-21,1973,Mountain Pass,12,14,Acrylic on Canvas,Available,
WM_74-02,1974,Crossfell Snowline,44,34,Acrylic on Canvas,Available,
WM_74-04,1974,Haweswater,31,27,Acrylic on Canvas,Available,
WM_74-05,1974,Corsewall Point No.2,25.5,20,Acrylic on Canvas,Available,
WM_74-06,1974,Needle's Eye,42,32,Acrylic on Canvas,Sold,
WM_74-08,1974,Lindisfarne Holy Rocks,36,26,Acrylic on Canvas,Available,
WM_74-09,1974,Beck Falls No.1,27.5,29,Acrylic on Canvas,Sold,
WM_74-13,1974,Silverband Mine No.2,50,36,Acrylic on Canvas,Available,
WM_74-15,1974,Lake Head,33.5,32,Acrylic on Canvas,Available,
WM_74-16,1974,Snowfield No.1,46,36,Acrylic on Canvas,Available,
WM_74-17,1974,Snowfield No.2,37.5,27.5,Acrylic on Canvas,Available,
WM_75-05,1975,Blue Wave,29,41,Acrylic on Canvas,Available,
WM_75-06,1975,Homage to Jobby,27,41,Acrylic on Canvas,Artist's Collection,
WM_75-07,1975,Rock Reflection No.1,39,45,Acrylic on Canvas,Available,
WM_75-12,1975,Sleeping Rocks,18,22,Acrylic on Canvas,Available,
WM_75-15,1975,Driftwood No.1,36.5,43.5,Acrylic on Canvas,Available,
WM_75-16,1975,Driftwood No.2,23,37,Acrylic on Canvas,Available,
WM_75-17,1975,Driftwood No.3,18,22,Acrylic on Canvas,Available,
WM_75-18,1975,Rock Arch,27.5,29.5,Acrylic on Canvas,Available,
WM_75-19,1975,Mersey Dock No.1,25.5,22,Acrylic on Canvas,Available,
WM_75-20,1975,Mersey Dock No.2,33,36,Acrylic on Canvas,Available,
WM_75-21,1975,Mersey Dock No.3,20,16,Acrylic on Canvas,Sold,
WM_76-01,1976,Eagle Isle  No.1,40,51.5,Acrylic on Canvas,Available,
WM_76-02,1976,Eagle Isle  No.2,51.5,39,Acrylic on Canvas,Available,
WM_76-04,1976,Tarn Rocks No.2,26,36,Acrylic on Canvas,Sold,
WM_76-06,1976,Durdle Door ,35.5,25.5,Acrylic on Canvas,Sold,
WM_76-08,1976,Drumbreddan Bay No.1,12.5,17.5,Acrylic on Canvas,Available,
